TotalCharges,MonthlyCharges,tenure,Contract,PaymentMethod,OnlineSecurity,TechSupport,gender,OnlineBackup,InternetService,PaperlessBilling
79.35,79.35,1,0,2,0,0,0,0,1,1
565.35,50.55,11,0,2,2,0,0,0,0,0
496.9,75.15,7,0,0,0,0,0,0,1,1
4327.5,103.8,42,0,0,0,2,0,2,1,1
973.35,20.15,49,2,0,1,1,0,1,2,1
918.75,99.3,9,0,1,0,0,1,2,1,1
2215.45,62.15,35,1,0,2,0,0,0,0,1
1057.0,20.65,48,2,0,1,1,0,1,2,0
927.1,19.95,46,2,3,1,1,0,1,2,1
1009.25,33.75,29,0,3,0,0,1,0,0,0
2570.2,82.05,30,0,0,0,0,1,2,1,0
74.7,74.7,1,0,2,0,2,1,0,1,0
5714.25,84.0,66,2,3,2,2,1,0,0,1
7107.0,111.05,65,0,1,2,0,0,2,1,1
7459.05,100.9,72,2,0,0,0,1,2,1,1
927.35,78.95,12,0,2,2,0,0,0,1,1
4748.7,66.85,71,1,1,2,2,1,2,0,1
113.85,21.05,5,0,3,1,1,1,1,2,0
1107.2,21.0,52,2,0,1,1,1,1,2,0
2514.5,98.5,25,0,2,0,0,0,2,1,1
20.2,20.2,1,0,3,1,1,1,1,2,0
19.45,19.45,1,0,2,1,1,0,1,2,0
3605.6,95.0,38,1,0,0,2,1,0,1,0
3027.25,45.55,66,1,0,0,0,0,2,0,0
7611.85,110.0,68,2,0,0,2,1,2,1,1
100.2,24.3,5,0,3,0,0,1,0,0,0
7303.05,104.15,72,1,2,2,0,0,2,1,1
927.65,30.15,32,1,3,2,0,0,0,0,0
3921.3,94.35,43,1,3,0,0,1,0,1,0
1363.25,19.4,72,2,1,1,1,1,1,2,0
5238.9,96.75,55,0,2,2,0,1,2,1,1
3042.25,57.95,52,1,1,2,2,0,0,0,0
3954.1,91.65,43,0,2,0,0,0,2,1,1
2868.15,76.5,37,0,2,0,0,0,0,1,1
3423.5,54.6,64,2,2,0,2,0,2,0,1
248.4,89.85,3,0,2,2,0,1,2,1,0
1126.35,31.05,36,2,0,2,0,0,0,0,0
1064.65,100.25,10,0,2,2,0,0,0,1,1
835.15,20.65,41,2,3,1,1,0,1,2,0
2151.6,85.2,27,0,1,0,2,1,2,1,1
5515.45,99.8,56,1,1,0,0,0,0,1,1
112.75,20.7,6,0,3,1,1,0,1,2,0
229.55,74.4,3,0,2,0,0,1,0,1,1
350.35,50.7,7,0,3,2,0,0,0,0,0
62.9,20.85,4,0,3,1,1,0,1,2,0
3027.65,88.95,33,2,2,2,2,1,0,1,1
2135.5,78.05,27,0,2,0,0,0,0,1,1
1723.95,23.55,72,2,0,1,1,1,1,2,1
19.75,19.75,1,0,3,1,1,1,1,2,0
3985.35,56.45,71,1,2,2,0,1,2,0,1
1215.65,85.95,13,0,2,0,0,0,0,1,1
1502.65,58.6,25,0,1,2,0,0,2,0,1
3260.1,50.55,67,2,0,0,2,1,0,0,0
35.45,35.45,1,0,2,0,0,1,0,0,1
81.25,44.35,2,0,2,0,0,1,0,0,0
1188.2,25.7,43,2,1,1,1,0,1,2,1
1778.5,75.0,23,0,0,2,0,0,0,1,1
1277.75,20.2,64,2,3,1,1,0,1,2,0
1170.55,19.6,57,2,3,1,1,1,1,2,1
70.45,70.45,1,0,3,0,0,0,0,1,1
6425.65,88.05,72,2,1,2,2,0,2,0,1
563.65,71.15,8,0,2,2,2,0,0,0,0
5971.25,101.05,61,2,0,0,0,0,2,1,1
5289.05,84.3,64,1,1,2,0,1,2,1,1
1756.2,23.95,71,2,0,1,1,1,1,2,0
6416.7,99.05,65,2,1,2,2,0,2,1,1
61.35,19.6,3,1,3,1,1,1,1,2,0
45.65,45.65,1,0,2,0,0,1,0,0,1
1929.95,64.5,30,1,1,0,0,1,2,0,0
1071.4,69.5,15,0,3,0,2,1,2,0,1
564.35,68.55,8,0,2,0,2,0,0,0,1
655.5,95.0,7,0,3,0,0,1,0,1,0
7930.55,108.15,70,1,1,2,0,0,2,1,1
5215.25,86.1,62,2,2,2,2,1,2,0,0
113.5,19.7,6,0,3,1,1,0,1,2,0
1152.8,80.9,14,0,0,0,0,0,0,1,1
1821.95,84.15,22,0,0,0,0,0,0,1,1
419.9,20.15,22,1,3,1,1,1,1,2,0
1024.0,64.25,16,2,3,2,0,1,0,0,0
251.6,25.7,10,2,0,1,1,1,1,2,0
764.55,56.0,13,0,2,2,0,0,2,0,1
1592.35,82.4,20,0,2,2,0,0,0,1,0
135.2,69.7,2,0,2,0,0,0,0,1,1
3958.25,73.9,53,2,0,0,2,1,2,0,1
233.9,20.6,11,1,3,1,1,0,1,2,0
1363.45,19.9,69,2,3,1,1,1,1,2,0
273.0,70.9,4,0,0,0,0,0,0,1,1
6254.45,89.05,72,2,0,2,2,1,2,0,1
2651.2,45.3,58,0,2,0,0,1,2,0,1
321.4,20.4,16,0,2,1,1,0,1,2,0
3539.25,84.25,43,1,0,2,2,1,0,1,1
242.8,104.4,2,0,2,0,2,0,0,1,1
1181.75,81.95,14,2,3,0,2,1,2,0,0
5000.2,94.85,53,1,0,0,0,0,0,1,1
654.55,20.55,32,1,0,1,1,0,1,2,0
780.2,24.7,34,0,2,1,1,0,1,2,0
1145.7,74.45,15,0,3,0,0,0,0,1,1
503.6,76.45,7,0,0,2,0,0,0,1,0
1559.25,105.35,15,0,0,0,0,0,2,1,1
1252.0,20.55,61,1,1,1,1,1,1,2,1
29.95,29.95,1,0,0,0,0,0,2,0,0
45.3,45.3,1,0,3,0,0,0,0,0,0
662.65,84.5,8,0,0,0,0,1,0,1,0
2453.3,74.75,33,1,1,2,0,1,0,0,0
1111.65,79.25,13,0,2,0,0,0,2,1,1
24.8,24.8,1,0,2,0,0,0,0,0,1
1023.85,51.8,20,0,3,0,0,1,2,0,1
82.15,30.4,3,0,2,0,2,1,0,0,0
244.8,19.65,13,1,2,1,1,0,1,2,0
2379.1,56.6,40,0,1,0,0,0,2,0,0
3173.35,71.9,43,1,1,2,2,1,0,0,1
531.0,91.0,6,0,2,0,0,1,2,1,1
1375.4,19.75,69,2,0,1,1,0,1,2,0
8129.3,109.7,72,2,1,2,0,0,2,1,0
1192.7,19.3,59,2,1,1,1,1,1,2,0
1901.65,96.55,20,0,2,2,2,0,2,1,1
587.4,24.1,24,2,0,1,1,1,1,2,1
6519.75,111.35,59,0,2,0,2,1,2,1,1
8041.65,112.25,72,2,0,0,2,1,2,1,1
20.75,20.75,1,0,3,1,1,1,1,2,0
2681.15,101.9,27,1,1,2,2,0,0,1,1
1112.3,80.05,14,0,1,0,2,0,2,1,1
7405.5,105.55,71,2,2,2,0,1,0,1,0
1033.95,78.3,13,0,1,0,0,1,0,1,1
2958.95,68.85,44,0,1,0,0,1,0,1,0
2684.85,79.95,33,1,0,0,2,0,2,1,1
4179.2,55.45,72,2,1,2,2,1,2,0,1
79.9,79.9,1,0,2,0,0,1,0,1,0
1934.45,106.6,19,0,2,2,2,0,0,1,1
6654.1,102.45,64,1,1,0,2,1,2,1,1
84.5,46.0,2,0,1,0,0,1,0,0,1
25.25,25.25,1,0,2,0,0,0,0,0,0
1124.2,19.75,61,2,3,1,1,1,1,2,0
540.05,20.0,29,1,2,1,1,0,1,2,0
1975.85,86.8,23,0,2,0,0,1,0,1,0
3437.45,58.75,57,0,0,2,0,0,2,0,1
3139.8,45.25,72,2,1,2,2,1,2,0,0
3789.2,56.6,66,2,0,2,2,1,2,0,1
5324.5,84.2,65,2,0,0,2,1,2,0,1
624.6,80.0,8,0,0,0,0,0,0,1,1
268.35,70.15,4,0,2,0,0,0,0,1,1
1836.9,24.75,71,2,0,1,1,0,1,2,0
20.2,20.2,1,1,2,1,1,1,1,2,1
179.35,50.05,4,0,3,0,2,1,0,0,0
219.35,19.35,12,1,0,1,1,0,1,2,1
1288.75,50.6,24,1,3,2,0,1,0,0,1
2545.75,81.15,31,1,3,2,2,0,0,0,1
55.2,55.2,1,0,3,0,0,0,0,0,0
2723.15,89.9,30,0,1,0,2,1,0,1,1
4107.25,85.3,47,2,1,2,2,0,2,0,1
5760.65,108.0,54,2,1,2,2,1,2,1,1
4747.5,93.5,50,0,1,2,2,1,2,1,1
84.6,84.6,1,0,3,2,0,1,0,1,1
1566.9,20.25,72,2,1,1,1,0,1,2,0
702.0,25.15,29,0,2,1,1,0,1,2,0
114.1,54.4,2,0,3,0,0,1,2,0,1
299.05,29.6,10,2,3,0,2,0,0,0,1
1305.95,73.15,18,0,2,0,0,1,0,1,1
1120.3,95.0,11,0,2,0,0,0,2,1,1
284.35,19.75,16,2,3,1,1,1,1,2,0
6350.5,86.6,72,2,0,0,2,0,2,0,0
7878.3,109.2,72,2,0,0,2,1,2,1,0
3187.65,74.7,41,1,1,2,2,0,0,0,1
6126.15,94.4,65,0,2,2,0,0,2,1,0
731.3,54.8,13,0,2,0,0,0,2,0,1
273.4,75.35,4,0,2,2,0,1,0,1,0
2531.8,65.0,41,1,3,0,0,1,0,0,0
1074.3,74.4,15,0,2,0,0,1,2,1,1
48.55,48.55,1,0,3,2,0,1,0,0,1
4298.45,99.0,42,1,2,2,0,1,2,1,1
4619.55,93.5,51,1,2,2,0,0,2,1,1
147.15,70.4,2,0,2,0,0,0,0,1,0
40.2,40.2,1,0,2,0,0,1,2,0,0
2633.3,83.7,32,1,1,0,2,1,2,0,0
193.05,19.85,10,0,3,1,1,1,1,2,1
4103.9,59.55,67,2,2,0,2,0,2,0,1
7008.15,115.1,61,2,1,2,2,0,2,1,0
5791.1,114.35,50,1,1,2,2,1,2,1,0
80.55,44.6,2,0,1,0,0,0,0,0,1
1228.65,45.0,29,0,2,2,0,0,0,0,1
132.2,41.15,3,0,2,0,0,1,0,0,1
1364.3,106.9,13,0,2,0,0,1,2,1,1
4925.35,89.85,57,0,2,0,0,1,2,1,1
1520.1,49.85,31,2,0,2,2,0,2,0,1
5032.25,113.3,45,1,3,2,2,0,2,1,0
5526.75,88.1,61,2,3,2,2,0,2,0,0
1195.25,24.9,50,2,0,1,1,1,1,2,0
2007.25,105.0,19,0,3,2,2,0,2,1,1
1099.6,19.35,59,2,3,1,1,1,1,2,0
1732.95,24.25,71,2,1,1,1,0,1,2,1
1511.2,94.45,16,0,2,0,2,0,0,1,1
3450.15,59.75,57,2,2,2,2,1,2,0,1
24.8,24.8,1,0,0,0,0,1,0,0,0
2172.05,107.05,20,0,2,0,2,1,2,1,0
70.6,70.6,1,0,3,0,0,1,0,1,0
401.1,85.4,5,0,2,0,2,1,2,1,1
5624.85,105.05,52,0,2,0,0,0,2,1,1
1339.8,64.95,21,0,0,2,0,1,2,0,1
771.95,55.0,14,0,2,0,2,1,0,0,1
244.75,50.55,5,0,0,0,0,0,2,0,0
322.9,55.15,6,0,3,2,0,0,2,0,0
498.25,51.2,10,0,2,0,0,0,2,0,0
25.4,25.4,1,0,3,1,1,0,1,2,0
3687.75,54.45,68,0,3,2,0,0,0,0,0
1779.95,95.15,18,0,3,0,0,1,0,1,0
1783.6,76.0,22,1,1,0,0,0,0,1,1
927.15,44.35,20,0,2,0,0,0,0,0,1
70.0,70.0,1,0,2,0,0,1,0,1,0
606.55,74.5,8,0,2,0,0,1,2,1,1
435.4,44.85,10,0,1,0,0,1,0,0,1
1712.7,76.1,24,0,2,0,0,1,0,1,1
2021.2,61.2,35,1,3,2,0,1,2,0,0
1940.8,86.8,23,1,3,0,2,1,2,1,0
567.8,89.35,6,0,2,0,0,0,0,1,1
220.35,19.7,12,0,3,1,1,0,1,2,0
20.25,20.25,1,0,3,1,1,1,1,2,0
5436.45,76.05,71,2,2,0,0,0,0,1,0
3437.5,100.8,35,0,2,0,0,1,0,1,1
3015.75,74.55,40,0,2,0,0,1,0,0,1
73.6,73.6,1,0,3,2,0,0,0,1,1
1509.8,64.9,23,1,0,0,0,1,0,0,1
396.1,95.45,4,0,2,0,0,0,0,1,1
356.65,90.4,4,0,2,0,2,1,0,1,1
4109.0,60.3,68,2,1,0,2,0,2,0,0
3141.7,81.85,38,0,3,0,0,1,2,1,1
1229.1,24.8,52,2,3,1,1,1,1,2,0
2303.35,74.9,32,0,2,0,0,1,0,1,1
2054.4,75.55,29,2,3,0,2,1,0,0,0
3741.85,101.15,38,0,2,0,0,1,2,1,0
3682.45,78.75,48,1,1,2,0,1,0,0,1
19.25,19.25,1,0,0,1,1,0,1,2,1
1886.25,89.05,22,0,2,2,2,0,0,1,1
4895.1,115.05,43,2,1,2,2,0,2,1,0
341.6,69.35,5,0,2,0,0,0,0,1,1
415.55,80.6,5,0,2,0,0,1,0,1,1
5686.4,110.05,51,1,1,2,2,1,2,1,0
1355.1,19.9,71,2,1,1,1,1,1,2,1
3058.65,80.3,38,1,1,2,2,0,2,0,0
2231.05,93.15,24,0,2,0,0,1,0,1,1
3236.35,91.5,35,0,1,0,2,1,0,1,1
4350.1,82.45,54,1,0,2,2,0,2,0,0
4264.0,60.0,72,2,2,0,2,0,2,0,1
44.8,44.8,1,0,2,0,0,1,0,0,1
422.3,48.6,9,1,3,2,0,0,0,0,0
4176.7,60.05,69,2,0,2,2,1,2,0,1
5138.1,102.7,52,0,1,0,2,0,2,1,1
880.05,82.9,11,0,2,0,2,0,0,1,1
139.05,70.35,2,0,2,0,0,0,0,1,1
973.65,35.9,28,0,2,0,0,0,0,0,1
1470.05,82.65,17,0,1,0,0,0,0,1,1
739.35,19.85,35,2,3,1,1,0,1,2,1
161.95,19.2,8,1,3,1,1,0,1,2,1
4422.95,94.9,46,1,1,0,0,1,2,1,1
511.25,73.85,7,0,2,0,0,0,0,1,1
155.8,80.6,2,0,3,0,0,0,0,1,0
5293.95,75.8,68,1,0,0,2,1,2,0,1
4759.85,104.6,43,2,2,0,0,0,2,1,1
6148.45,88.15,68,2,2,2,2,0,2,0,1
3565.65,94.8,36,0,1,0,0,0,2,1,1
6603.0,103.4,63,0,2,0,0,1,2,1,1
1830.1,54.65,32,0,0,0,2,0,2,0,0
6223.8,85.75,71,2,1,2,2,0,2,0,0
4508.65,67.45,66,0,0,2,0,0,2,0,1
1328.15,20.5,63,1,3,1,1,1,1,2,0
865.0,20.25,41,1,1,1,1,0,1,2,1
72.1,72.1,1,0,2,0,0,0,0,1,1
168.2,90.4,2,0,2,0,0,0,0,1,1
1303.5,19.45,70,2,0,1,1,0,1,2,0
996.85,44.95,23,0,2,0,0,0,0,0,1
6430.9,97.0,64,1,0,2,0,0,2,1,0
2278.75,62.8,37,2,1,2,2,1,0,0,1
681.4,44.6,17,1,3,0,0,1,0,0,0
574.35,89.15,7,0,2,0,0,0,0,1,1
371.9,84.8,4,0,0,0,0,1,2,1,1
840.1,41.9,21,0,2,2,0,0,0,0,1
846.0,80.25,10,0,0,0,0,0,0,1,1
889.0,54.1,16,0,2,2,0,0,0,0,1
6823.4,105.25,64,2,2,0,2,1,2,1,1
805.1,30.75,27,0,1,2,0,1,0,0,0
4016.75,97.1,42,1,2,2,0,1,0,1,0
83.75,20.2,5,0,3,1,1,1,1,2,0
3959.15,98.8,41,2,0,0,2,0,2,1,1
2878.55,50.3,58,1,1,0,0,1,0,0,0
945.7,20.55,47,2,3,1,1,0,1,2,1
1373.05,75.9,18,0,0,0,2,1,0,1,1
492.55,96.5,5,0,0,0,0,1,0,1,0
1406.0,59.95,23,0,0,2,0,1,0,0,1
19.15,19.15,1,0,3,1,1,0,1,2,0
6962.85,98.65,71,1,1,0,0,1,0,1,1
8126.65,112.6,72,2,1,2,2,1,2,1,1
690.25,20.6,33,1,3,1,1,1,1,2,0
181.5,85.65,2,0,2,0,0,1,0,1,1
830.8,35.75,24,2,3,2,2,1,0,0,0
5608.4,99.75,56,1,1,0,2,0,2,1,1
3646.8,96.1,37,0,1,0,0,1,2,1,1
3662.25,85.1,43,1,1,0,2,0,2,0,0
25.35,25.35,1,0,3,0,0,1,0,0,0
2566.5,104.95,25,0,0,0,2,0,0,1,1
5308.7,89.65,61,2,2,2,2,0,2,0,0
1410.25,86.75,17,1,2,0,2,1,0,1,0
3339.05,86.2,41,1,0,0,2,0,2,1,1
50.65,50.65,1,0,3,0,0,1,2,0,0
4732.35,64.8,72,2,0,2,2,1,2,0,1
90.85,90.85,1,0,1,0,0,1,2,1,1
5067.45,108.1,48,2,0,0,0,1,2,1,1
214.75,19.95,11,0,3,1,1,1,1,2,0
4874.7,85.45,55,0,2,0,0,0,2,1,1
2348.45,54.75,42,1,2,2,2,0,2,0,1
4063.0,90.4,44,0,3,0,0,1,0,1,1
44.0,44.0,1,0,2,0,0,1,0,0,0
2595.25,95.6,27,0,0,0,0,0,0,1,1
2309.55,84.8,27,0,0,0,2,1,2,0,1
89.3,44.3,2,0,2,0,0,0,0,0,1
367.55,19.9,19,0,3,1,1,0,1,2,0
3944.5,95.05,42,0,2,0,0,0,0,1,1
5965.95,90.05,66,2,1,2,2,0,2,0,1
3694.7,109.9,33,0,0,2,2,1,0,1,1
2524.45,73.95,34,0,1,0,0,0,2,1,1
1803.7,54.6,33,0,2,0,2,1,0,0,1
415.1,20.05,23,1,3,1,1,0,1,2,0
624.15,19.75,32,1,0,1,1,0,1,2,0
237.7,20.05,11,1,1,1,1,0,1,2,0
7007.6,99.45,69,0,1,0,0,1,0,1,1
3848.8,55.9,68,1,0,2,2,0,0,0,0
419.4,19.7,20,2,3,1,1,1,1,2,1
1468.75,19.8,72,2,1,1,1,1,1,2,1
5812.0,95.4,60,1,0,2,0,1,0,1,1
2861.45,93.95,32,0,3,0,0,1,2,1,1
19.9,19.9,1,0,3,1,1,0,1,2,1
19.6,19.6,1,0,3,1,1,1,1,2,1
233.7,81.35,3,0,2,0,0,1,2,1,1
1066.15,24.45,46,1,0,1,1,0,1,2,1
2149.05,74.95,29,0,2,0,0,0,0,1,1
4473.0,87.35,51,0,2,0,2,1,2,1,1
3545.05,70.65,48,0,0,0,0,0,0,1,1
1195.75,73.25,16,0,0,0,0,0,2,1,0
6858.9,98.7,70,2,0,0,2,1,2,1,1
1024.7,24.8,40,2,3,1,1,0,1,2,1
1845.9,83.3,22,0,2,0,0,0,2,1,0
75.3,75.3,1,0,0,0,0,0,0,1,1
132.25,24.3,5,0,3,1,1,0,1,2,1
515.45,69.85,7,0,0,0,0,0,0,1,1
2830.45,100.55,29,1,1,0,2,1,2,1,0
1110.5,25.7,44,1,3,1,1,1,1,2,0
449.3,40.7,10,0,0,2,0,0,2,0,0
2838.55,51.65,55,0,0,0,0,0,0,0,0
5376.4,105.1,52,1,0,0,0,1,2,1,1
858.6,85.95,10,0,2,0,0,0,0,1,0
1395.05,75.6,18,0,0,0,0,1,0,1,1
3975.7,58.25,68,1,0,2,2,0,0,0,0
1182.55,19.4,61,0,3,1,1,0,1,2,1
4784.45,65.2,72,2,1,2,2,0,2,0,1
119.5,53.45,2,0,2,2,0,1,0,0,0
518.9,45.4,12,0,0,0,0,1,0,0,1
899.45,19.75,41,2,2,1,1,1,1,2,1
1183.8,44.45,26,0,1,0,2,0,0,0,1
720.05,20.85,36,1,0,1,1,1,1,2,0
8468.2,114.05,72,2,1,2,2,1,2,1,1
3161.2,89.85,35,0,0,0,2,1,0,1,1
55.05,55.05,1,0,3,0,2,1,0,0,0
1882.55,112.95,16,0,2,2,2,0,0,1,1
5070.4,101.55,49,0,1,2,0,0,0,1,0
6049.5,114.65,54,1,3,2,2,0,2,1,1
1166.7,64.8,18,0,2,2,0,0,0,0,0
2937.65,80.4,36,0,2,0,0,0,0,1,0
6396.45,105.9,60,0,2,0,0,0,2,1,1
69.55,69.55,1,0,3,0,0,0,0,1,0
1270.25,25.05,52,2,0,1,1,0,1,2,1
759.55,94.75,8,0,2,0,0,1,0,1,1
7611.55,105.5,72,2,0,2,2,1,2,1,0
1642.75,24.7,64,1,3,1,1,0,1,2,0
1545.4,69.75,22,0,3,2,2,0,0,0,1
3582.4,60.2,60,0,0,0,2,1,2,0,1
2227.1,81.05,28,0,2,0,0,0,0,1,1
1417.9,24.4,61,2,3,1,1,0,1,2,0
2494.65,104.15,24,0,2,0,0,0,2,1,1
2768.35,92.9,28,1,0,0,2,1,2,1,0
2369.3,80.8,30,2,0,0,2,0,2,0,0
38.0,20.0,2,0,3,1,1,1,1,2,0
75.1,75.1,1,0,2,0,0,1,0,1,1
100.9,19.65,6,0,3,1,1,1,1,2,0
1614.05,69.45,24,0,0,0,0,0,2,0,1
385.9,101.15,4,0,2,0,0,1,0,1,0
673.25,99.8,7,0,2,0,0,1,2,1,1
8404.9,116.05,72,2,0,2,2,1,2,1,1
2799.75,40.05,70,2,3,0,2,1,0,0,1
6538.45,102.1,64,2,2,0,2,1,0,1,0
6588.95,89.7,72,1,2,0,0,1,2,1,1
868.1,19.9,44,2,3,1,1,0,1,2,0
734.35,55.95,13,0,2,0,0,0,0,0,0
330.6,20.65,17,1,3,1,1,0,1,2,0
55.0,55.0,1,0,2,0,0,1,0,0,1
564.4,70.05,9,0,3,0,0,1,0,0,1
1315.35,53.6,24,0,3,2,2,1,0,0,0
74.7,74.7,1,0,2,0,0,0,2,1,1
1861.5,80.25,24,0,2,0,0,1,2,1,1
2747.2,76.05,35,0,2,0,2,1,2,0,1
554.05,75.7,7,0,2,2,2,0,2,0,1
453.4,96.1,5,0,2,0,2,1,0,1,1
994.8,69.0,15,0,0,0,0,0,0,1,0
225.75,19.65,11,2,3,1,1,1,1,2,0
2145.0,45.3,48,0,0,2,0,0,0,0,1
1671.6,81.45,20,0,2,0,0,0,0,1,1
8003.8,108.5,72,1,0,0,2,0,2,1,1
680.05,83.55,8,0,2,0,0,0,2,1,1
6130.85,84.5,72,2,1,0,0,1,0,1,1
1415.0,100.15,15,0,2,0,0,0,2,1,1
6201.95,88.6,72,2,0,0,2,1,2,0,1
74.35,74.35,1,0,2,0,0,1,0,1,1
6597.25,104.8,63,2,0,0,0,1,2,1,1
114.15,59.0,2,0,2,0,0,0,2,0,1
139.4,74.4,2,0,2,2,0,0,0,1,1
3902.6,64.05,61,1,0,0,0,1,2,0,0
20.4,20.4,1,0,3,1,1,1,1,2,0
903.6,43.75,22,1,0,0,0,1,2,0,1
1785.65,60.9,28,0,3,2,2,1,2,0,0
1397.65,19.8,70,2,0,1,1,0,1,2,0
131.05,28.45,5,0,2,0,0,0,2,0,0
1238.45,99.7,12,0,0,2,0,0,2,1,1
3899.05,116.25,34,1,1,2,2,1,2,1,0
5676.0,80.7,71,2,1,2,0,0,0,1,1
4543.15,65.2,70,1,0,2,0,0,0,0,0
4326.8,84.05,52,0,0,2,2,0,0,1,1
5502.55,79.45,69,2,1,2,2,1,2,0,1
1782.4,94.1,20,0,2,0,0,0,2,1,1
851.8,78.0,11,0,3,0,0,1,0,1,1
167.5,94.2,2,0,2,0,2,1,0,1,1
502.85,80.5,6,0,2,0,2,0,0,1,1
19.85,19.85,1,0,3,1,1,0,1,2,0
1818.3,94.3,20,1,1,2,2,1,0,1,0
6300.15,106.45,61,0,2,2,0,1,0,1,1
334.8,74.35,5,0,2,0,0,0,0,1,1
5916.95,105.45,56,0,0,0,2,0,2,1,1
2852.4,95.0,30,0,1,2,2,1,2,1,1
4131.95,104.8,40,0,0,0,2,1,0,1,0
1546.3,54.3,28,1,3,2,2,0,0,0,0
302.6,70.05,5,0,2,0,0,0,0,1,0
1929.35,75.2,27,0,0,2,0,0,0,1,1
265.45,20.05,12,0,1,1,1,1,1,2,0
6989.45,105.4,67,1,2,0,0,1,2,1,1
